a_id,user_id,post_id,post_text,annotation_date,result,issue,comments
13,2,788_base_model_564,Who said anything about FF/mozilla having anything to do with steve jobs/apple?,2025-12-20 07:46:17.728715,"{'post_id': '788_base_model_564', 'comments': '', 'post_text': 'Who said anything about FF/mozilla having anything to do with steve jobs/apple?', 'post_issue': 'Firefox vs internet explorer:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other11', 'otherErrorQuestion4': 'other16', 'post_rewritten_part': ""There's no connection between"", 'post_inappropriate_part': 'Who said anything about'}",Firefox vs internet explorer:,
14,2,666_v11_only_lm_472,"In the United States of America, pro-choice is the only constitutional way to go.",2025-12-20 07:46:45.499827,"{'post_id': '666_v11_only_lm_472', 'comments': '', 'post_text': 'In the United States of America, pro-choice is the only constitutional way to go.', 'post_issue': 'Pro choice vs pro life:', 'otherErrorQuestion1': 'other1', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other17', 'post_rewritten_part': 'pro-choice is the only constitutional stance', 'post_inappropriate_part': 'pro-choice is the only constitutional way to go'}",Pro choice vs pro life:,
11,2,2153_base_model_1496,"But basically I was talking with my parents who are both vehemently religious and I made a realization that while religion does contribute to wars, the biggest problem that religion is that it prevents the spread of advancement in science, specifically in the fields of medicine, climate, and biology (with issues in climate change and evolution), and society, specifically with same-sex marriage, abortion, contraception, marijuana, et cetera.",2025-12-20 07:45:36.200173,"{'post_id': '2153_base_model_1496', 'comments': '', 'post_text': 'But basically I was talking with my parents who are both vehemently religious and I made a realization that while religion does contribute to wars, the biggest problem that religion is that it prevents the spread of advancement in science, specifically in the fields of medicine, climate, and biology (with issues in climate change and evolution), and society, specifically with same-sex marriage, abortion, contraception, marijuana, et cetera.', 'post_issue': ""Cmv: the biggest problem with religion isn't the amount of violence waged in its name, but the amount of advancement in science and society that is stifled because of what some believe.:"", 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'However, I realized that', 'post_inappropriate_part': 'But basically'}","Cmv: the biggest problem with religion isn't the amount of violence waged in its name, but the amount of advancement in science and society that is stifled because of what some believe.:",
12,2,577_v11_only_lm_449,So each has it's pros and con's but I would have to recommend psyche ward over jail.,2025-12-20 07:45:53.551006,"{'post_id': '577_v11_only_lm_449', 'comments': '', 'post_text': ""So each has it's pros and con's but I would have to recommend psyche ward over jail."", 'post_issue': 'What is the worst thing about being in jail?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'I would recommend', 'post_inappropriate_part': 'I would have to recommend'}",What is the worst thing about being in jail?:,
17,2,1146_50a_50ss_394,Good idea for separate student from other people for at least increase garment job.,2025-12-20 07:48:38.192376,"{'post_id': '1146_50a_50ss_394', 'comments': '', 'post_text': 'Good idea for separate student from other people for at least increase garment job.', 'post_issue': 'Is the school uniform a good or bad idea:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'increased security jobs', 'post_inappropriate_part': 'at least increase garment job'}",Is the school uniform a good or bad idea:,
18,2,1567_50a_50ss_496,School uniforms are a BAD idea.,2025-12-20 07:49:05.434136,"{'post_id': '1567_50a_50ss_496', 'comments': '', 'post_text': 'School uniforms are a BAD idea.', 'post_issue': 'Is the school uniform a good or bad idea:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other17', 'post_rewritten_part': ""will limit students' ability to express themselves as students won't be able to show their individuality as easily"", 'post_inappropriate_part': 'are a BAD idea'}",Is the school uniform a good or bad idea:,
1243,4,22_50a_50ss_13,Or do you need proof that this highly organized machine came to be about by a mere accident or order of circumstances?,2025-12-21 22:16:16.637074,"{'post_id': '22_50a_50ss_13', 'comments': '', 'post_text': 'Or do you need proof that this highly organized machine came to be about by a mere accident or order of circumstances?', 'post_issue': 'Evolution vs creation:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'combination', 'post_inappropriate_part': 'accident or order'}",Evolution vs creation:,
1354,3,22_50a_50ss_13,Or do you need proof that this highly organized machine came to be about by a mere accident or order of circumstances?,2025-12-22 12:17:29.915573,"{'post_id': '22_50a_50ss_13', 'comments': '', 'post_text': 'Or do you need proof that this highly organized machine came to be about by a mere accident or order of circumstances?', 'post_issue': 'Evolution vs creation:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'combination', 'post_inappropriate_part': 'accident or order'}",Evolution vs creation:,
1357,3,965_50a_50ss_322,You are 100% right because I am in Pe and they make us wear these stupid outfits.,2025-12-22 12:18:24.004159,"{'post_id': '965_50a_50ss_322', 'comments': '', 'post_text': 'You are 100% right because I am in Pe and they make us wear these stupid outfits.', 'post_issue': 'Should physical education be mandatory in schools:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'uniforms, which can be cumbersome', 'post_inappropriate_part': 'stupid outfits'}",Should physical education be mandatory in schools:,
1358,3,1609_50a_50ss_504,Marriage and the government should not mix.,2025-12-22 12:18:40.534580,"{'post_id': '1609_50a_50ss_504', 'comments': '', 'post_text': 'Marriage and the government should not mix.', 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'remain separate', 'post_inappropriate_part': 'not mix'}",Gay marriage right or wrong:,
1361,3,1372_base_model_1057,I don't see why anybody cares.,2025-12-22 12:19:48.756021,"{'post_id': '1372_base_model_1057', 'comments': '', 'post_text': ""I don't see why anybody cares."", 'post_issue': ""Cmv: the us' obsession with 'parity' in sports is misguided.:"", 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'anyone', 'post_inappropriate_part': 'anybody'}",Cmv: the us' obsession with 'parity' in sports is misguided.:,
1363,3,1479_base_model_1105,"The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.",2025-12-22 12:20:52.419790,"{'post_id': '1479_base_model_1105', 'comments': '', 'post_text': 'The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.', 'post_issue': 'Should physical education be mandatory in schools:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'high-quality debate and discourse', 'post_inappropriate_part': 'the quality of debate and discourse as high as possible'}",Should physical education be mandatory in schools:,
1830,3,371_v11_only_lm_268,I AM an atheist,2025-12-29 20:15:45.517205,"{'post_id': '371_v11_only_lm_268', 'comments': '', 'post_text': 'I AM an atheist', 'post_issue': 'Christianity or atheism:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'I am an atheist.', 'post_inappropriate_part': 'I AM an atheist'}",Christianity or atheism:,
15,2,81_50a_50ss_32,"You brother is in a jail for a reason, maybe if he had contributed to society instead of commiting crimes he would not be in this situation.",2025-12-20 07:47:14.093903,"{'post_id': '81_50a_50ss_32', 'comments': '', 'post_text': 'You brother is in a jail for a reason, maybe if he had contributed to society instead of commiting crimes he would not be in this situation.', 'post_issue': ""My brother is  @ a tx state prison he's broken his two front dentures and they do not want to fix them!?:"", 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other17', 'post_rewritten_part': 'Jail does not have any benefits from a health care standpoint', 'post_inappropriate_part': 'You brother is in a jail for a reason, maybe if he had contributed to society instead of commiting crimes he would not be in this situation'}",My brother is  @ a tx state prison he's broken his two front dentures and they do not want to fix them!?:,
16,2,1513_50a_50ss_488,"You see, also people are sometimes to poor to buy their own TV set or even a newspaper(or they're just to lazy too) because of taxes,gas prices,and ALL OF THEIR LITTLE STUPID FRIEND!!!!!!!!",2025-12-20 07:47:46.095824,"{'post_id': '1513_50a_50ss_488', 'comments': '', 'post_text': ""You see, also people are sometimes to poor to buy their own TV set or even a newspaper(or they're just to lazy too) because of taxes,gas prices,and ALL OF THEIR LITTLE STUPID FRIEND!!!!!!!!"", 'post_issue': 'Why do people not see that the us president is a criminal?:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other16', 'post_rewritten_part': 'This allows people to get their news more quickly and conveniently.', 'post_inappropriate_part': ""You see, also people are sometimes to poor to buy their own TV set or even a newspaper(or they're just to lazy too) because of taxes,gas prices,and ALL OF THEIR LITTLE STUPID FRIEND!!!!!!!!""}",Why do people not see that the us president is a criminal?:,
19,2,303_v11_only_lm_224,"To utter that sentence - or even contemplate it - applies existence to something that is ""nothing.""",2025-12-20 07:50:03.107271,"{'post_id': '303_v11_only_lm_224', 'comments': '', 'post_text': 'To utter that sentence - or even contemplate it - applies existence to something that is ""nothing.""', 'post_issue': 'Nothing exists   stance: nothing exists:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""implies applying existence to something that is 'nothing.'"", 'post_inappropriate_part': 'applies existence to something that is ""nothing.""'}",Nothing exists   stance: nothing exists:,
20,2,493_50a_50ss_163,Could a unproven higher power have created a perfect world that appeared to have existed for more than 10 million years when really it is only 1 hundred thousand years old?,2025-12-20 07:50:18.436011,"{'post_id': '493_50a_50ss_163', 'comments': '', 'post_text': 'Could a unproven higher power have created a perfect world that appeared to have existed for more than 10 million years when really it is only 1 hundred thousand years old?', 'post_issue': 'Evolution vs creation:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': '100,000', 'post_inappropriate_part': '1 hundred thousand'}",Evolution vs creation:,
21,4,1142_base_model_879,"I don't want ot hear ""it's human nature to be selfish"" or any other lame excuse.",2025-12-20 16:03:42.515470,"{'post_id': '1142_base_model_879', 'comments': 'Spelling mistake: [to hear] instead of [ot hear]', 'post_text': 'I don\'t want ot hear ""it\'s human nature to be selfish"" or any other lame excuse.', 'post_issue': 'Which type of endeavor is better a personal pursuit or advancing the common good:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""I'd prefer not to"", 'post_inappropriate_part': ""I don't want""}",Which type of endeavor is better a personal pursuit or advancing the common good:,Spelling mistake: [to hear] instead of [ot hear]
22,4,289_50a_50ss_95,But Yuengling is mass produced and... actually pretty good.,2025-12-20 16:07:52.658164,"{'post_id': '289_50a_50ss_95', 'comments': 'The tone and meaning of the edited sentence completely changed and became uncivilized.\r\nThe meaning of mass produced was not understood.', 'post_text': 'But Yuengling is mass produced and... actually pretty good.', 'post_issue': ""Cmv: i think yuengling is the best beer to get if you are having a party and don't know what beers people like.:"", 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other11', 'otherErrorQuestion4': 'other16', 'post_rewritten_part': 'They tend to appreciate something special like Yuengling, which is good enough to not offend, and just shitty enough to please the unwashed plebs', 'post_inappropriate_part': 'But Yuengling is mass produced and... actually pretty good'}",Cmv: i think yuengling is the best beer to get if you are having a party and don't know what beers people like.:,"The tone and meaning of the edited sentence completely changed and became uncivilized.
The meaning of mass produced was not understood."
23,4,666_base_model_444,"In the United States of America, pro-choice is the only constitutional way to go.",2025-12-20 16:10:10.689379,"{'post_id': '666_base_model_444', 'comments': '', 'post_text': 'In the United States of America, pro-choice is the only constitutional way to go.', 'post_issue': 'Pro choice vs pro life:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'In the United States', 'post_inappropriate_part': 'In the United States of America'}",Pro choice vs pro life:,
24,4,1395_50a_50ss_475,"As the war dragged on, and Hawk was starting to lose it, did Trapper call to see how they were?",2025-12-20 16:11:44.981034,"{'post_id': '1395_50a_50ss_475', 'comments': 'The edited sentence seems like one that would follow the original sentence, not replace it.', 'post_text': 'As the war dragged on, and Hawk was starting to lose it, did Trapper call to see how they were?', 'post_issue': 'Trapper john or bj honeycutt   stance: bj honeycutt was the best sidekick to hawkeye:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other11', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'No, but BJ was always there to brighten things up with stories of Peg and Erin, pranking Charles, and taking over surgery while Hawkeye was having a tough day.', 'post_inappropriate_part': 'As the war dragged on, and Hawk was starting to lose it, did Trapper call to see how they were?'}",Trapper john or bj honeycutt   stance: bj honeycutt was the best sidekick to hawkeye:,"The edited sentence seems like one that would follow the original sentence, not replace it."
372,5,881_v11_only_lm_663,Eight TRILLION plus?,2025-12-20 21:27:02.039010,"{'post_id': '881_v11_only_lm_663', 'comments': '', 'post_text': 'Eight TRILLION plus?', 'post_issue': 'Bush to reduce deficit with domestic cuts?:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': ""It's now over eight trillion dollars."", 'post_inappropriate_part': 'Eight TRILLION plus?'}",Bush to reduce deficit with domestic cuts?:,
25,4,400_v11_only_lm_297,"In other words, how do you draw a line?",2025-12-20 16:20:02.732396,"{'post_id': '400_v11_only_lm_297', 'comments': 'The correct expression is [draw the line], which a human would recognize and understand immediately.', 'post_text': 'In other words, how do you draw a line?', 'post_issue': ""Why does the government have the right to enact 'morals' laws?:"", 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'how do you determine the line', 'post_inappropriate_part': 'how do you draw a line'}",Why does the government have the right to enact 'morals' laws?:,"The correct expression is [draw the line], which a human would recognize and understand immediately."
26,4,1155_base_model_906,i remember the only country by whose fear alexander's army was afraid it was INDIA after just sixty years of independence INDIA is looked as the country to become the sixth member of security council of UN and it is also the country with a great development rate,2025-12-20 16:30:55.719703,"{'post_id': '1155_base_model_906', 'comments': '', 'post_text': ""i remember the only country by whose fear alexander's army was afraid it was INDIA after just sixty years of independence INDIA is looked as the country to become the sixth member of security council of UN and it is also the country with a great development rate"", 'post_issue': 'India has the potential to lead the world:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'I', 'post_inappropriate_part': 'i'}",India has the potential to lead the world:,
27,4,475_base_model_325,"The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix).",2025-12-20 16:32:01.211295,"{'post_id': '475_base_model_325', 'comments': 'The edited sentence is superior.', 'post_text': ""The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix)."", 'post_issue': 'Firefox vs internet explorer:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'with opening multiple windows (20 or more at once)', 'post_inappropriate_part': 'is on opening multiple windows (20 or more at once)'}",Firefox vs internet explorer:,The edited sentence is superior.
28,4,1587_v11_only_lm_1238,"YES, because some children don't understand anything expect physical education especially rich children of rich parents.",2025-12-20 16:36:42.560685,"{'post_id': '1587_v11_only_lm_1238', 'comments': ""The replacement of [may not] is appropriate for [don't] in this case, but the replacement of [the value of] for [anything] doesn't capture the essence of the original sentence. "", 'post_text': ""YES, because some children don't understand anything expect physical education especially rich children of rich parents."", 'post_issue': 'Should physical education be mandatory in schools:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other7', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other17', 'post_rewritten_part': 'some children may not understand the value of', 'post_inappropriate_part': ""some children don't understand anything""}",Should physical education be mandatory in schools:,"The replacement of [may not] is appropriate for [don't] in this case, but the replacement of [the value of] for [anything] doesn't capture the essence of the original sentence. "
29,4,306_base_model_217,"I think if the government wanted him dead, they would have offed him WAY before when he was actually inventing things which could possibly be related to weapons.",2025-12-20 16:39:30.004429,"{'post_id': '306_base_model_217', 'comments': 'The edit introduced a grammatical error of double [if]s, an error that a human is unlikely to make.', 'post_text': 'I think if the government wanted him dead, they would have offed him WAY before when he was actually inventing things which could possibly be related to weapons.', 'post_issue': 'What killed nikola tesla   stance: natural causes:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'If the government wanted him dead', 'post_inappropriate_part': 'the government wanted him dead'}",What killed nikola tesla   stance: natural causes:,"The edit introduced a grammatical error of double [if]s, an error that a human is unlikely to make."
30,4,845_v11_only_lm_631,Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are...,2025-12-20 16:41:01.995155,"{'post_id': '845_v11_only_lm_631', 'comments': 'The meaning is preserved pretty well but not perfectly.', 'post_text': ""Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are..."", 'post_issue': 'Human growth and development should parents use spanking as an option to discipline:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'relatively little', 'post_inappropriate_part': 'not near as much'}",Human growth and development should parents use spanking as an option to discipline:,The meaning is preserved pretty well but not perfectly.
31,4,1611_base_model_1187,"if you gays would stop calling attention to yourselves, nobody would really care what you do.",2025-12-20 16:42:31.373291,"{'post_id': '1611_base_model_1187', 'comments': 'The edited would have been correct if it said [your lives] instead of [their lives].', 'post_text': 'if you gays would stop calling attention to yourselves, nobody would really care what you do.', 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'stopped drawing attention to their lives', 'post_inappropriate_part': 'would stop calling attention to yourselves'}",Gay marriage right or wrong:,The edited would have been correct if it said [your lives] instead of [their lives].
32,4,1655_v11_only_lm_1296,if anything there has always been a double standard between Democrats and Republicans.,2025-12-20 16:43:16.742673,"{'post_id': '1655_v11_only_lm_1296', 'comments': 'Meaning preserved, capitalization error introduced.', 'post_text': 'if anything there has always been a double standard between Democrats and Republicans.', 'post_issue': 'Was it legal when clinton spied on americans?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'There has always been', 'post_inappropriate_part': 'there has always been'}",Was it legal when clinton spied on americans?:,"Meaning preserved, capitalization error introduced."
33,4,8_50a_50ss_3,and it is educational,2025-12-20 16:44:07.283023,"{'post_id': '8_50a_50ss_3', 'comments': 'This edit is okay, but without context of the leading thoughts it seems unnecessary.', 'post_text': 'and it is educational', 'post_issue': 'Tv is better than books:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'also educational.', 'post_inappropriate_part': 'educational'}",Tv is better than books:,"This edit is okay, but without context of the leading thoughts it seems unnecessary."
35,4,982_v11_only_lm_758,Yeah I have a bottle of water next to me its no bid deal!,2025-12-20 16:45:01.965505,"{'post_id': '982_v11_only_lm_758', 'comments': 'Edit corrected grammar appropriately.', 'post_text': 'Yeah I have a bottle of water next to me its no bid deal!', 'post_issue': 'Ban plastic water bottles:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'no big deal.', 'post_inappropriate_part': 'no bid deal!'}",Ban plastic water bottles:,Edit corrected grammar appropriately.
37,4,1609_50a_50ss_502,"We take a personal, religious institution and regulate it, then the government comes back and wants to redefine it.",2025-12-20 16:46:31.907350,"{'post_id': '1609_50a_50ss_502', 'comments': '', 'post_text': 'We take a personal, religious institution and regulate it, then the government comes back and wants to redefine it.', 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'and the government then', 'post_inappropriate_part': 'then the government'}",Gay marriage right or wrong:,
1244,4,291_v11_only_lm_221,"If we have rights and need to respect one another, does that mean we should have love and compassion for our creations?",2025-12-21 22:16:29.636121,"{'post_id': '291_v11_only_lm_221', 'comments': '', 'post_text': 'If we have rights and need to respect one another, does that mean we should have love and compassion for our creations?', 'post_issue': 'If humans were created, are we technically artificial intelligence?   stance: yes.:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'does that imply we should have', 'post_inappropriate_part': 'does that mean we should have'}","If humans were created, are we technically artificial intelligence?   stance: yes.:",
