id,source,inappropriate_part,rewritten_part,issue,batch
387_v11_only_lm_279,"As we are living in a developing society, more and more and more people are coming to terms and agreeing that gay marriage is ok.","As we are living in a developing society, more and more and more people are coming to terms and agreeing that gay marriage is ok.","As we live in a developing society, more and more people are coming to accept that gay marriage is acceptable.",Gay marriage right or wrong:,1
1214_v11_only_lm_1010,I think black people have their rights protected.,I think,I believe,Cmv: i think there is no racial discrimination in the developed countries:,1
1173_v11_only_lm_972,Right now I am going to go for the personal pursuit.,Right now I am going to go for the personal pursuit,"For now, I'm going to prioritize my personal pursuit",Which type of endeavor is better a personal pursuit or advancing the common good:,1
940_v11_only_lm_738,"While granted, it was a Monday night (I get that in the restaurant industry), the food was pretty much awful.",pretty much awful,quite disappointing,"Business review: 2.0 stars
business name: carpe diem restaurant & caterers. city: charlotte. categories: american (new), nightlife, vegetarian, bars, american (traditional), lounges, event planning & services, venues & event spaces, caterers, restaurants:",1
153_v11_only_lm_117,"I added provolone and onions which was decent, but the onions were sliced pretty big.",I added provolone and onions which was decent,"I added provolone and onions, which was decent","Business review: 2.0 stars
business name: agincourt bakery. city: scarborough. categories: event planning & services, delis, caterers, italian, bakeries, food, restaurants:",1
1632_v11_only_lm_1287,There are thousands of people on the waiting list for another baby to add to their family.,There are thousands of people on the waiting list,There are thousands of people on waiting lists,Pro choice vs pro life:,1
1977_v11_only_lm_1492,i would love to see that day.,i would love to see that day,I would love to see that day become a reality.,Will cigarettes finally become illegal?:,1
475_v11_only_lm_353,Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2.,obviously,likely,Firefox vs internet explorer:,1
1272_v11_only_lm_1062,Why can't we find psuedo-hybrid fish with legs forming?,Why can't we find psuedo-hybrid fish with legs forming?,Why can't we find pseudo-hybrid fish with legs developing?,Evolution vs creation:,1
291_v11_only_lm_221,"If we have rights and need to respect one another, does that mean we should have love and compassion for our creations?",does that mean we should have,does that imply we should have,"If humans were created, are we technically artificial intelligence?   stance: yes.:",1
2021_v11_only_lm_1528,They are independent.,They are independent.,They are often independent animals.,Dogs or cats   stance: cats:,1
1027_v11_only_lm_830,I spent years working to get a woman paroled from a 20 year sentence for possessing 2/3rds of a gram.,2/3rds of a gram,two-thirds of a gram,Do you believe in the early release system used for prisoners?:,1
1214_v11_only_lm_1017,"I am aware that probably their education rates are lower and their poverty rates are higher, but it doesn't matter.",but it doesn't matter,but this doesn't affect my opinion,Cmv: i think there is no racial discrimination in the developed countries:,1
2136_v11_only_lm_1601,Me and my brother were the only white kids in the projects...,Me and my brother,My brother and I,Should black slavery + prejudice reparations be repaid in the form of better schools and money for college?:,1
709_v11_only_lm_525,"To answer your question and to refute the genius who compared captial punishment to abortion: The fact is, yes, there have been far too many instances where people have been put to death then later found innocent.",the genius who compared captial punishment to abortion,the argument that capital punishment is comparable to abortion,Should capital punishment be allowed?:,1
280_v11_only_lm_196,Why should an Israeli state be established in a historically relevant but highly dangerous location because of an historical claim that is thousands of years old?,but highly dangerous location,but potentially hazardous location,Cmv: israel should have been established within the borders of germany as an independent state following the second world war.:,1
163_v11_only_lm_125,"i love firefox and defended it, but what is odd is that this site is breaking in it.",what is odd is,what's odd is,Firefox vs internet explorer:,1
845_v11_only_lm_631,Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are...,not near as much,relatively little,Human growth and development should parents use spanking as an option to discipline:,1
1025_v11_only_lm_819,ESPECIALLY when those substances are LESS harmful than the ones that are legal!,ESPECIALLY when,Especially when,Do you think that the govenment should have the right to tell us what we can put into our bodies like marijuna:,1
303_v11_only_lm_224,"To utter that sentence - or even contemplate it - applies existence to something that is ""nothing.""","applies existence to something that is ""nothing.""",implies applying existence to something that is 'nothing.',Nothing exists   stance: nothing exists:,1
390_v11_only_lm_287,"If it has nothing to do with that, they may just be trying to determine if you qualify for Medicade.",they may just be trying to determine if you qualify for Medicade,they may be trying to determine if you qualify for Medicaid,How do you feel about dfhs and casa involving your family?:,1
1611_v11_only_lm_1266,"if you gays would stop calling attention to yourselves, nobody would really care what you do.",would stop calling attention to yourselves,would stop drawing attention to themselves,Gay marriage right or wrong:,1
1214_v11_only_lm_1024,"As I said I don't want to see statistic about poverty, education levels, criminal levels, how many of them are living in ghettos or what % of them are in the higher positons of the state hierarchy.",or what % of them are in the higher positons of the state hierarchy,or what percentage of them hold high-ranking positions in the government,Cmv: i think there is no racial discrimination in the developed countries:,1
577_v11_only_lm_448,So each has it's pros and con's but I would have to recommend psyche ward over jail.,So each has it's pros and con's,Each has its pros and cons,What is the worst thing about being in jail?:,1
1255_v11_only_lm_1037,I think it is bad to wear school uniform because it makes you look unatrel and you cannot express yourself enough so band school uniform OK,you cannot express yourself enough,restricts your ability to express yourself,Is the school uniform a good or bad idea:,1
1207_v11_only_lm_1001,Racial profiling consisted of a systematic suspicion of particular minorities as inherently criminal.,a systematic suspicion of particular minorities as inherently criminal.,systematically suspecting particular minorities of being inherently criminal.,Why are insurance companies allowed to profile but law enforcement isnt?:,1
746_v11_only_lm_571,As long as they don't have high blood pressure their bodies can endure.,As long as they don't have high blood pressure their bodies can endure,"As long as they don't have high blood pressure, their bodies can endure",Cmv: nascar and formula 1 racing are not a sports.:,1
940_v11_only_lm_743,The descriptions were nice but the food didn't live up to it.,The descriptions were nice but the food didn't live up to it.,"The descriptions were appealing, but the food did not meet our expectations.","Business review: 2.0 stars
business name: carpe diem restaurant & caterers. city: charlotte. categories: american (new), nightlife, vegetarian, bars, american (traditional), lounges, event planning & services, venues & event spaces, caterers, restaurants:",1
280_v11_only_lm_201,"However, the annexation of a portion of Germany is arguably more morally justifiable than basically conquering Palestine because of a religion-based claim.","However, the annexation of a portion of Germany is arguably more morally justifiable","However, annexing a portion of Germany is arguably more morally justifiable",Cmv: israel should have been established within the borders of germany as an independent state following the second world war.:,1
666_v11_only_lm_472,"In the United States of America, pro-choice is the only constitutional way to go.",pro-choice is the only constitutional way to go,pro-choice is the only constitutional stance,Pro choice vs pro life:,1
1977_v11_only_lm_1487,"in response to another person's answer, if cigarettes were made illegal, it would save countless peoples' health and lives.",it would save countless peoples' health and lives,it would save countless people's health and lives,Will cigarettes finally become illegal?:,1
577_v11_only_lm_449,So each has it's pros and con's but I would have to recommend psyche ward over jail.,I would have to recommend,I would recommend,What is the worst thing about being in jail?:,1
1655_v11_only_lm_1296,if anything there has always been a double standard between Democrats and Republicans.,there has always been,There has always been,Was it legal when clinton spied on americans?:,1
1285_v11_only_lm_1064,Some people say God is against porn.,God is against porn.,God is against pornography.,Is porn wrong:,1
982_v11_only_lm_758,Yeah I have a bottle of water next to me its no bid deal!,no bid deal!,no big deal.,Ban plastic water bottles:,1
2040_v11_only_lm_1545,"If those who have actually read a book, then there is really no debate.",If those who have actually read a book,If you've actually read a book,Tv is better than books:,1
774_v11_only_lm_597,"(The preceding is not my opinion, but instead my rather cynical interpretation of modern society)","(The preceding is not my opinion, but instead my rather cynical interpretation of modern society)","(This is not my opinion, but rather my interpretation of modern society)",Do lesbians have it easier than gay men??   stance: lesbians are more socially accepted by straight people:,1
1117_v11_only_lm_915,jarman: porn is wrong because it sholud be in 4-D with surround sound and special effects :),jarman: porn is wrong because,Jarman: I believe porn can be problematic because,Is porn wrong:,1
255_v11_only_lm_156,I had the oppertunity to visit Dar just a couple of weeks back.,oppertunity,opportunity,Any ultra highly intelligent people who understand tanzania land issues and possible future outcomes?:,1
857_v11_only_lm_636,People should stop being so against it.,People should stop being so against it.,People should stop being opposed to it.,Gay marriage right or wrong:,1
1107_v11_only_lm_894,All we can say is a big IF because we are not yet 100% sure if this nation itself could lead the whole world.,because we are not yet 100% sure,because we are uncertain,India has the potential to lead the world:,1
1361_v11_only_lm_1118,So the actually pronunciation does not take away form the degradation of the word.,does not take away form the degradation of the word,does not detract from the degradation of the word,Why do black people call each other the n word?:,1
965_v11_only_lm_750,You are 100% right because I am in Pe and they make us wear these stupid outfits.,You are 100% right,You are right,Should physical education be mandatory in schools:,1
257_v11_only_lm_184,Jails are over crowded now.,Jails are over crowded now.,"Jails are overcrowded, which is a concern.",Why not ban teenage sexuality altogether?:,1
762_v11_only_lm_575,My personal convictions could never allow me to support caging an animal up behind bars for the amusement of people.,for the amusement of people,for the entertainment of people,Should zoo's be made illegal?   stance: yes:,1
2106_v11_only_lm_1578,"Hell i think animals should be allowed to join in holy matrimony as well, it would certainley be an entertaining ceremony.",i think,I think,Gay marriage right or wrong:,1
1089_v11_only_lm_891,"I open with these words from the Messiah Yahushua himself, and take him at his word as he is no liar.",and take him at his word as he is no liar,"and I take him at his word, as he is trustworthy",Is the law (torah) of god (yhwh) for today?   stance: that the law (torah) of god (yhwh) has not passed away and is for everyone who has their allegiance:,1
773_v11_only_lm_579,Oh yeah...,Oh yeah...,Oh yes.,Is guitar hear for losers who cant play real guitar   stance: no:,1
1845_v11_only_lm_1399,"The latest front page post of the sticker that says ""Guns don't kill people, people with God kill people"" has led me to write this CMV.",The latest front page post of the sticker,The latest front page post of a sticker,"Cmv: i feel /r/atheism is more about embracing hatred towards religion, and less about embracing atheism:",1
1357_v11_only_lm_1106,"Marriage is a business, and the license makes it legal.",Marriage is a business,Marriage is often viewed as a business arrangement,Does remaining life partners make more sense than marriage?:,1
1632_v11_only_lm_1285,The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother.,The woman can have the baby and give it up for adoption or raise it as their own,The woman can choose to have the baby and give it up for adoption or raise it as her own,Pro choice vs pro life:,1
525_v11_only_lm_400,religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative.,religious people are always using the same argument,Religious people often use the same argument,Christianity or atheism:,1
940_v11_only_lm_739,Over-seasoned...overdone.,Over-seasoned...overdone.,The food was over-seasoned and overcooked.,"Business review: 2.0 stars
business name: carpe diem restaurant & caterers. city: charlotte. categories: american (new), nightlife, vegetarian, bars, american (traditional), lounges, event planning & services, venues & event spaces, caterers, restaurants:",1
888_v11_only_lm_687,"To live you obey them, if not you could very well end up dead.","you obey them, if not you could very well end up dead","you must obey them, and if not, you could very well end up dead",Do prisions create a criminal personality?:,1
1980_v11_only_lm_1500,The criminals have it made in this country...why do they make honest people go through so much to get a hand gun?,The criminals have it made in this country...why do they make honest people go through so much to get a hand gun?,The criminals have it easy in this country; why do they make honest people go through so much to get a handgun?,Do you know of any gun control laws in america??:,1
938_v11_only_lm_731,I don't care if Tiesto or Calvin Harris is playing here it is a joke.,it is a joke,it's a joke,"Business review: 1.0 stars
business name: hakkasan nightclub. city: las vegas. categories: nightlife, chinese, lounges, cantonese, bars, dance clubs, restaurants:",1
1503_v11_only_lm_1192,I just don't know if you are referring Latinos as a whole or to an specific group.,you are referring Latinos as a whole,you are referring to Latinos in general,"When a latino does anything, the excuse is, it's their culture. how come i can't do that? wht about my culture:",1
2156_v11_only_lm_1624,Gove was an absolute blight on education and now we have this woman whose previous title is minister of women and equality but who also voted against gay marriage.,an absolute blight on education,a significant negative influence on education,"Cmv: nicky morgan, the new education secretary, is just as awful as gove.:",1
1357_v11_only_lm_1114,"People couldn't marry for money, or insurance, etc...","People couldn't marry for money, or insurance, etc...","People couldn't marry for financial gain or to secure insurance, etc.",Does remaining life partners make more sense than marriage?:,1
1214_v11_only_lm_1018,That's probably affected by the discrimination that happened in the past or it's just their fault for not being successfully integrated into society.,That's probably affected by the discrimination,That's probably a result of the historical discrimination,Cmv: i think there is no racial discrimination in the developed countries:,1
513_v11_only_lm_390,I wouldn't live my life right if I never got to meet my father.,I wouldn't live my life right,I wouldn't live my life the same,Is it better to have a lousy father or to be fatherless:,1
1865_v11_only_lm_1426,"Now, say they never got sick.",say they never got sick,let's say they never got sick,We should choose where our taxes go   stance: i agree:,1
1788_v11_only_lm_1385,"if the woman was raped, it most certainly is Not the baby's fault.",if,If,Pro choice vs pro life:,1
371_v11_only_lm_265,there have been horrible people who are believers.,there have been horrible people who are believers.,There have been many people who are believers and have committed horrible acts.,Christianity or atheism:,1
174_v11_only_lm_128,"For the record, yeah it's wrong.","For the record, yeah it's wrong.","For the record, it's wrong.",Is porn wrong:,1
417_v11_only_lm_313,It is almost impossible to think through EVERY issue for yourself because there are so many.,It is almost impossible to think through EVERY issue for yourself,It's almost impossible to think through every issue for yourself,Hypocrites?:,1
566_v11_only_lm_426,They did whatever they could to accomplish the master race.,accomplish the master race,achieve their goal of a master race,Why did the nazis hate the jews so much as to gas them?:,1
577_v11_only_lm_441,Kind of scary.,Kind of scary.,It can be kind of scary.,What is the worst thing about being in jail?:,1
2062_v11_only_lm_1554,"I dont want to say i officially have a position, but i want someone on the other side to answer this because i honestly just dont know: if a 14 year old is raped (which, we have established, happens), and she then gets pregnant, but because she is 14, she will die if she has the baby, what is the pro life decision?",and she then gets pregnant,and becomes pregnant,Pro choice vs pro life:,1
1655_v11_only_lm_1295,if it is wrong now it was wrong then.,it was wrong then,it's wrong now,Was it legal when clinton spied on americans?:,1
1017_v11_only_lm_795,"so girls need to take care, be aware of your own safety dont give ""strange"" guys the upperhand if you dont want to be date raped..","so girls need to take care, be aware of your own safety","To prevent date rape, girls need to be aware of their own safety",Why do u think date rape is on the rise today?:,1
1401_v11_only_lm_1157,"I could bicker about the member who posted the debate on being illiterate...and rant on about how ridiculous it is to make such a remark...after all, how could posters be illiterate, if they read and write?",and rant on,and point out,Is misspelling words really a huge problem?   stance: disagree:,1
184_v11_only_lm_132,I support pro choice if nothing else because it is one of the last bastions that free people hold out against the government for.,one of the last bastions that free people,one of the last bastions of freedom that individuals,Pro choice vs pro life:,1
952_v11_only_lm_745,"India was most successful when it was ruled by other empires, they cant even lead themselves.",they cant even lead themselves,they still struggled to lead themselves effectively,India has the potential to lead the world:,1
940_v11_only_lm_737,Big Mistake.,Big Mistake.,"Unfortunately, it was a disappointing experience.","Business review: 2.0 stars
business name: carpe diem restaurant & caterers. city: charlotte. categories: american (new), nightlife, vegetarian, bars, american (traditional), lounges, event planning & services, venues & event spaces, caterers, restaurants:",1
2156_v11_only_lm_1625,Gove was an absolute blight on education and now we have this woman whose previous title is minister of women and equality but who also voted against gay marriage.,this woman,Nicky Morgan,"Cmv: nicky morgan, the new education secretary, is just as awful as gove.:",1
1038_v11_only_lm_855,"It's not legal because it can't be regulated by the government, because it's generally regarded as a gateway drug (one that leads to other, more dangerous drug use), and because, since it hasn't always been legal like in some European countries, legalizing it would not only lead to a massive initial interest in it-- which would lead to increased health care costs (don't front; it damages respiratory systems and impairs judgment) and decrease labor quality-- and all those drug dealers who sold weed would need to find something else to do, and my guess is it wouldn't be a legit job--","and all those drug dealers who sold weed would need to find something else to do, and my guess is it wouldn't be a legit job--","and drug dealers who sold marijuana would need to find alternative employment, which may not be legitimate",Why is marijuana illegal?!?:,1
1203_v11_only_lm_988,society says..,society says..,Society's views on this issue are often misguided.,What do you think of a person with a drug habbit ?:,1
705_v11_only_lm_508,"The deal is: ""Freedom of speech goes both ways"" People not only have a right to say pretty much what they want, other people have a right to object, argue & even ask for an apology.","The deal is: """,The deal is: ',So much for the first amendment!!!?:,1
1272_v11_only_lm_1059,Why are we still evolving and the monkeys aren't?,and the monkeys aren't?,but monkeys are not?,Evolution vs creation:,1
12_v11_only_lm_18,india is is good adopter but a bad developer and leader should be a great developer,a bad developer and leader should be a great developer,a great leader should also be a great developer,India has the potential to lead the world:,1
2156_v11_only_lm_1627,She's highly in favour of a number of things that will only serve to benefit the rich and wealthy of the country (like academies and raising tuition fees even further) and I doubt that anything will change from Gove's reign of terror - We may even see it get worse.,She's highly in favour of a number of things,She supports policies that,"Cmv: nicky morgan, the new education secretary, is just as awful as gove.:",1
1756_v11_only_lm_1371,"Whether you are in a venture purely for yourself or others, you still end up affecting the people around you.",you still end up affecting the people around you,you still impact the people around you,Which type of endeavor is better a personal pursuit or advancing the common good:,1
291_v11_only_lm_219,"That means if anything we create is artificial, we ourselves are artificial intelligence.....if we were created.",That means if anything we create is artificial,"That means if anything we create is artificial, we ourselves might be artificial intelligence","If humans were created, are we technically artificial intelligence?   stance: yes.:",1
1655_v11_only_lm_1297,people are screaming about an illegal war can not remember president Clinton asking congress for any wars he got us in.,people are screaming about an illegal war,people are criticizing an unauthorized war,Was it legal when clinton spied on americans?:,1
1214_v11_only_lm_1011,I think black people have their rights protected.,black people,people of African descent or black individuals,Cmv: i think there is no racial discrimination in the developed countries:,1
1902_v11_only_lm_1447,How are we supposed to curb childhood obesity if we don't start at a young age?,if we don't start at a young age,if we don't start addressing it at a young age,Should physical education be mandatory in schools:,1
738_v11_only_lm_561,"last time i checked he still has the right to a court appt attorney..until then if you can""t make bail or get a bondsmen then i guess he will have to tough it till his court date.....if he hates it that bad..then maybe he won't make the same mistake again when choosing a girl.",if he hates it that bad..then maybe he won't make the same mistake again when choosing a girl.,Perhaps he will learn from this experience and make better choices in the future.,I have a son that is in jail in atlanta ga and needs help.we cannot afford the high bail.and legal cost.?:,1
1977_v11_only_lm_1493,all those sleaseballs selling death deserve to be jobless.,all those sleaseballs selling death deserve to be jobless,"Those selling cigarettes, who contribute to death, deserve to be held accountable.",Will cigarettes finally become illegal?:,1
1587_v11_only_lm_1238,"YES, because some children don't understand anything expect physical education especially rich children of rich parents.",some children don't understand anything,some children may not understand the value of,Should physical education be mandatory in schools:,1
881_v11_only_lm_663,Eight TRILLION plus?,Eight TRILLION plus?,It's now over eight trillion dollars.,Bush to reduce deficit with domestic cuts?:,1
291_v11_only_lm_217,"The creating being is the ""real"" being, while it's creation is an imitation of itself.","is the ""real"" being",is the'real' being,"If humans were created, are we technically artificial intelligence?   stance: yes.:",1
788_v11_only_lm_608,"BTW, IE blows when making pages and trying to get things to look right.",when making pages and trying to get things to look right.,rendering pages and making things look right.,Firefox vs internet explorer:,1
1024_v11_only_lm_809,What a scam!,What a scam!,This seems like a scam!,Will someone from the washington post go to jail for treason?:,1
400_v11_only_lm_291,"On substance, I doubt very much time and energy is spent in enforcing laws relating to prostitution in relation to other offenses.",time and energy is spent,time and energy is spent in enforcing,Why does the government have the right to enact 'morals' laws?:,1
1029_v11_only_lm_842,"the workers do what they can but sadly, until everyone gets it through to their local officals that they want money spent on protecting abused children instead of tax cuts and expanding roads the situation is not going to improve.",until everyone gets it through to their local officals,until everyone understands that they want money spent on protecting abused children instead of tax cuts and expanding roads,Do you feel that child protective services are doing there job protecting children.?:,1
8_v11_only_lm_5,I thick that book are better than TV is it is better i can put you in a whole norther wold,i can put you in a whole norther wold,can transport you to a different world,Tv is better than books:,1
2136_v11_only_lm_1600,"I will walk on anyone who tries to take from me, what I have worked for!",I will walk on anyone,I will not back down from anyone,Should black slavery + prejudice reparations be repaid in the form of better schools and money for college?:,1
1741_v11_only_lm_1366,"India does not have the potential to lead the world because the country is full of corruption, corruption in politicians ,numerous religion, fight between various religions, and a lot more............................",the country is full of corruption,widespread corruption,India has the potential to lead the world:,1
735_v11_only_lm_552,I like very much the way you started: ALL RISE!,ALL RISE!,All rise!,"All rise! i would never honor any earthly man, especially the crooked, hacks that we have as judges.?:",1
1146_v11_only_lm_937,Good idea for separate student from other people for at least increase garment job.,Good idea for separate student from other people,A school uniform can help separate students from others,Is the school uniform a good or bad idea:,1
1970_v11_only_lm_1478,We have laws that are supposedly in place (like the seatbelt law) to protect ourselves from harming ourselves -- yet we have not legislated all forms of self-harm.,to protect ourselves from harming ourselves --,to protect ourselves from harming ourselves,"Do you hate ""law"" as much as i hate ""law""?:",1
435_v11_only_lm_329,"This is influenced by the IAmA submission from the guy who proudly kills fellow human beings in the name of ""saving"" wildlife.",who proudly kills fellow human beings,who proudly kills fellow human beings in the name of'saving' wildlife,"Cmv: poaching and hunting are the same thing, and hunting is no more ecologically friendly than poaching:",1
1150_v11_only_lm_947,He wouldnt care so much that he would get pissed and throw my backpack with my computer in it at a wall putting a hole in it because I didn't clean the sink after breakfast or I forgot my keys.,putting a hole in it because I didn't clean the sink after breakfast or I forgot my keys,"putting a hole in it, because you didn't clean the sink after breakfast or you forgot your keys",Is it better to have a lousy father or to be fatherless:,1
289_v11_only_lm_207,Budweiser is for retards who don't know what beer is.,Budweiser is for retards who don't know what beer is,"Budweiser is a beer that may not be complex, but is still enjoyed by many.",Cmv: i think yuengling is the best beer to get if you are having a party and don't know what beers people like.:,1
1513_v11_only_lm_1213,"I may not know everything, but from I think people are just to stupid to just watch what Bushy (please do not sue me because i just said ""Bushy"" instead of Bush,I just like the name like that)here is doing.",to just watch what Bushy,to watch what George W. Bush is doing,Why do people not see that the us president is a criminal?:,1
788_v11_only_lm_611,FF sticks to world wide web consortiums standards much closer than IE ever did or will.,standards much closer than,standards than,Firefox vs internet explorer:,1
1587_v11_only_lm_1237,"YES, because some children don't understand anything expect physical education especially rich children of rich parents.","YES, because","Yes, because",Should physical education be mandatory in schools:,1
2021_v11_only_lm_1527,"Cats, definitely.","Cats, definitely.",Cats are generally preferred by many.,Dogs or cats   stance: cats:,1
1462_v11_only_lm_1179,"If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good",have you ever wondered that the one,Have you ever wondered that the person,Christianity or atheism:,1
500_v11_only_lm_380,our kids are so out of shape for the most part and eat too much junk,eat too much junk,tend to consume a lot of junk food,Should physical education be mandatory in schools:,1
387_v11_only_lm_276,So is that right in any case?,So is that right in any case?,So is it ever acceptable?,Gay marriage right or wrong:,1
